date,key,value
2022-08-08,Python3,162
2022-08-09,Python3,162
2022-08-11,Python3,166
2022-08-12,Python3,167
2022-08-13,Python3,168
2022-08-14,Python3,168
2022-08-15,Python3,168
2022-08-09,MySQL,171
2022-08-10,MySQL,171
2022-08-11,MySQL,171
2022-08-12,MySQL,171
2022-08-13,MySQL,171
2022-08-14,MySQL,171
2022-08-15,MySQL,171
2022-08-16,Python3,170
2022-08-16,MySQL,171
2022-08-17,Python3,170
2022-08-17,MySQL,171
2022-08-18,Python3,170
2022-08-18,MySQL,171
2022-08-19,Python3,170
2022-08-19,MySQL,171
2022-08-20,Python3,170
2022-08-20,MySQL,171
2022-08-21,Python3,170
2022-08-21,MySQL,171
2022-08-22,Python3,170
2022-08-22,MySQL,171
2022-08-23,Python3,170
2022-08-23,MySQL,171
2022-08-24,Python3,170
2022-08-24,MySQL,171
2022-08-25,Python3,172
2022-08-25,MySQL,171
2022-08-26,Python3,174
2022-08-26,MySQL,172
2022-08-27,Python3,174
2022-08-27,MySQL,174
2022-08-28,Python3,174
2022-08-28,MySQL,174
2022-08-29,Python3,174
2022-08-29,MySQL,176
2022-08-30,Python3,174
2022-08-30,MySQL,176
2022-03-14,Rank,123026
2022-03-21,Rank,109635
2022-03-21,Streak,11
2022-03-22,Rank,109122
2022-03-22,Streak,11
2022-03-23,Rank,109266
2022-03-23,Streak,11
2022-03-24,Rank,106303
2022-03-24,Streak,11
2022-03-25,Rank,104004
2022-03-25,Streak,11
2022-03-26,Rank,104121
2022-03-26,Streak,11
2022-03-26,Rank,104240
2022-03-27,Rank,104240
2022-03-27,Streak,11
2022-03-28,Rank,104409
2022-03-28,Streak,11
2022-03-29,Rank,103314
2022-03-29,Streak,11
2022-03-30,Rank,102897
2022-03-30,Streak,11
2022-03-31,Rank,103018
2022-03-31,Streak,11
2022-04-01,Rank,103128
2022-04-01,Streak,11
2022-04-02,Rank,103247
2022-04-02,Streak,11
2022-04-03,Rank,102803
2022-04-03,Streak,11
2022-04-04,Rank,102397
2022-04-04,Streak,11
2022-04-05,Rank,101422
2022-04-05,Streak,11
2022-04-06,Rank,101537
2022-04-06,Streak,11
2022-04-07,Rank,101074
2022-04-07,Streak,11
2022-04-08,Rank,101209
2022-04-08,Streak,11
2022-04-09,Rank,101321
2022-04-09,Streak,11
2022-04-10,Rank,100880
2022-04-10,Streak,11
2022-04-11,Rank,101031
2022-04-11,Streak,11
2022-04-12,Rank,99989
2022-04-12,Streak,11
2022-04-13,Rank,100150
2022-04-13,Streak,11
2022-04-14,Rank,98588
2022-04-14,Streak,11
2022-04-15,Rank,98723
2022-04-15,Streak,11
2022-04-16,Rank,98834
2022-04-16,Streak,11
2022-04-17,Rank,98972
2022-04-17,Streak,11
2022-04-18,Rank,99160
2022-04-18,Streak,11
2022-04-19,Rank,99272
2022-04-19,Streak,11
2022-04-20,Rank,99356
2022-04-20,Streak,11
2022-04-21,Rank,99466
2022-04-21,Streak,11
2022-04-22,Rank,99038
2022-04-22,Streak,11
2022-04-23,Rank,97400
2022-04-23,Streak,11
2022-04-24,Rank,97400
2022-04-24,Streak,11
2022-04-25,Rank,97400
2022-04-25,Streak,11
2022-04-26,Rank,97400
2022-04-26,Streak,11
2022-04-27,Rank,97417
2022-04-27,Streak,11
2022-04-28,Rank,97564
2022-04-28,Streak,11
2022-04-29,Rank,97627
2022-04-29,Streak,11
2022-04-30,Rank,97627
2022-04-30,Streak,11
2022-05-01,Rank,97627
2022-05-01,Streak,11
2022-05-02,Rank,97627
2022-05-02,Streak,11
2022-05-03,Rank,97725
2022-05-03,Streak,11
2022-05-04,Rank,98257
2022-05-04,Streak,11
2022-05-05,Rank,98342
2022-05-05,Streak,11
2022-05-06,Rank,98443
2022-05-06,Streak,11
2022-05-07,Rank,98540
2022-05-07,Streak,11
2022-05-08,Rank,98641
2022-05-08,Streak,11
2022-05-09,Rank,98758
2022-05-09,Streak,11
2022-05-10,Rank,98861
2022-05-10,Streak,11
2022-05-11,Rank,98980
2022-05-11,Streak,11
2022-05-12,Rank,99090
2022-05-12,Streak,11
2022-05-13,Rank,99209
2022-05-13,Streak,11
2022-05-14,Rank,99315
2022-05-14,Streak,11
2022-05-15,Rank,99414
2022-05-15,Streak,11
2022-05-16,Rank,99600
2022-05-16,Streak,11
2022-05-17,Rank,99734
2022-05-17,Streak,11
2022-05-18,Rank,99860
2022-05-18,Streak,11
2022-05-19,Rank,99996
2022-05-19,Streak,11
2022-05-20,Rank,100091
2022-05-20,Streak,11
2022-05-21,Rank,100206
2022-05-21,Streak,11
2022-05-22,Rank,99742
2022-05-22,Streak,11
2022-05-23,Rank,99977
2022-05-23,Streak,11
2022-05-24,Rank,99977
2022-05-24,Streak,11
2022-05-25,Rank,100096
2022-05-25,Streak,11
2022-05-26,Rank,100237
2022-05-26,Streak,11
2022-05-27,Rank,100356
2022-05-27,Streak,11
2022-05-28,Rank,100456
2022-05-28,Streak,11
2022-05-29,Rank,100563
2022-05-29,Streak,11
2022-05-30,Rank,100740
2022-05-30,Streak,11
2022-05-31,Rank,100859
2022-05-31,Streak,11
2022-06-01,Rank,100987
2022-06-01,Streak,11
2022-06-02,Rank,101121
2022-06-02,Streak,11
2022-06-03,Rank,101253
2022-06-03,Streak,11
2022-06-04,Rank,101384
2022-06-04,Streak,11
2022-06-05,Rank,101512
2022-06-05,Streak,11
2022-06-06,Rank,101667
2022-06-06,Streak,11
2022-06-07,Rank,101667
2022-06-07,Streak,11
2022-06-08,Rank,101667
2022-06-08,Streak,11
2022-06-09,Rank,101667
2022-06-09,Streak,11
2022-06-10,Rank,102197
2022-06-10,Streak,11
2022-06-11,Rank,102308
2022-06-11,Streak,11
2022-06-12,Rank,102416
2022-06-12,Streak,11
2022-06-13,Rank,102073
2022-06-13,Streak,11
2022-06-14,Rank,102203
2022-06-14,Streak,11
2022-06-15,Rank,102341
2022-06-15,Streak,11
2022-06-16,Rank,101964
2022-06-16,Streak,11
2022-06-17,Rank,102081
2022-06-17,Streak,11
2022-06-18,Rank,102189
2022-06-18,Streak,11
2022-06-19,Rank,102325
2022-06-19,Streak,11
2022-06-20,Rank,102509
2022-06-20,Streak,11
2022-06-21,Rank,102651
2022-06-21,Streak,11
2022-06-22,Rank,102651
2022-06-22,Streak,11
2022-06-23,Rank,102651
2022-06-23,Streak,11
2022-06-24,Rank,102651
2022-06-24,Streak,11
2022-06-25,Rank,102651
2022-06-25,Streak,11
2022-06-26,Rank,103375
2022-06-26,Streak,11
2022-06-27,Rank,103490
2022-06-27,Streak,11
2022-06-28,Rank,103658
2022-06-28,Streak,11
2022-06-29,Rank,103830
2022-06-29,Streak,11
2022-06-30,Rank,103989
2022-06-30,Streak,11
2022-07-01,Rank,104162
2022-07-01,Streak,11
2022-07-02,Rank,104162
2022-07-02,Streak,11
2022-07-03,Rank,104162
2022-07-03,Streak,11
2022-07-04,Rank,104162
2022-07-04,Streak,11
2022-07-05,Rank,104162
2022-07-05,Streak,11
2022-07-06,Rank,104938
2022-07-06,Streak,11
2022-07-07,Rank,104518
2022-07-07,Streak,11
2022-07-08,Rank,104518
2022-07-08,Streak,11
2022-07-09,Rank,104518
2022-07-09,Streak,11
2022-07-10,Rank,104518
2022-07-10,Streak,11
2022-07-11,Rank,104518
2022-07-11,Streak,11
2022-07-12,Rank,105307
2022-07-12,Streak,11
2022-07-13,Rank,105434
2022-07-13,Streak,11
2022-07-14,Rank,105578
2022-07-14,Streak,11
2022-07-15,Rank,105725
2022-07-15,Streak,11
